player,opponent,division,hrsNum,gamesAgainst
David Ortiz,Red Sox,AL East,4,25
David Ortiz,Orioles,AL East,55,247
David Ortiz,Blue Jays,AL East,62,251
David Ortiz,Yankees,AL East,53,257
David Ortiz,Rays,AL East,53,258
David Ortiz,Indians,AL Central,27,142
David Ortiz,Tigers,AL Central,36,129
David Ortiz,Royals,AL Central,21,127
David Ortiz,White Sox,AL Central,28,139
David Ortiz,Twins,AL Central,21,73
David Ortiz,Rangers,AL West,33,129
David Ortiz,Mariners,AL West,30,134
David Ortiz,Astros,AL West,7,35
David Ortiz,Angels,AL West,32,144
David Ortiz,Athletics,AL West,23,140
David Ortiz,Nationals,NL East,4,10
David Ortiz,Mets,NL East,3,12
David Ortiz,Marlins,NL East,11,22
David Ortiz,Phillies,NL East,9,41
David Ortiz,Braves,NL East,8,34
David Ortiz,Cubs,NL Central,4,16
David Ortiz,Cardinals,NL Central,1,22
David Ortiz,Pirates,NL Central,0,11
David Ortiz,Brewers,NL Central,5,20
David Ortiz,Reds,NL Central,0,8
David Ortiz,Dodgers,NL West,2,9
David Ortiz,Giants,NL West,3,14
David Ortiz,Rockies,NL West,2,20
David Ortiz,Diamondbacks,NL West,4,11
David Ortiz,Padres,NL West,0,13
Albert Pujols,Red Sox,AL East,10,42
Albert Pujols,Orioles,AL East,5,36
Albert Pujols,Blue Jays,AL East,7,36
Albert Pujols,Yankees,AL East,8,37
Albert Pujols,Rays,AL East,11,36
Albert Pujols,Indians,AL Central,7,35
Albert Pujols,Tigers,AL Central,13,51
Albert Pujols,Royals,AL Central,22,88
Albert Pujols,White Sox,AL Central,11,38
Albert Pujols,Twins,AL Central,6,40
Albert Pujols,Rangers,AL West,17,90
Albert Pujols,Mariners,AL West,19,96
Albert Pujols,Astros,AL West,53,254
Albert Pujols,Angels,AL West,4,9
Albert Pujols,Athletics,AL West,16,92
Albert Pujols,Nationals,NL East,17,44
Albert Pujols,Expos,NL East,7,24
Albert Pujols,Mets,NL East,22,81
Albert Pujols,Marlins,NL East,15,71
Albert Pujols,Phillies,NL East,13,77
Albert Pujols,Braves,NL East,19,71
Albert Pujols,Cubs,NL Central,56,182
Albert Pujols,Cardinals,NL Central,1,6
Albert Pujols,Pirates,NL Central,50,177
Albert Pujols,Brewers,NL Central,42,183
Albert Pujols,Reds,NL Central,47,177
Albert Pujols,Dodgers,NL West,18,101
Albert Pujols,Giants,NL West,16,75
Albert Pujols,Rockies,NL West,21,81
Albert Pujols,Diamondbacks,NL West,18,89
Albert Pujols,Padres,NL West,20,84
Sammy Sosa,Red Sox,AL East,5,45
Sammy Sosa,Orioles,AL East,3,29
Sammy Sosa,Blue Jays,AL East,7,40
Sammy Sosa,Yankees,AL East,5,40
Sammy Sosa,Rays,AL East,3,18
Sammy Sosa,Indians,AL Central,2,51
Sammy Sosa,Tigers,AL Central,6,43
Sammy Sosa,Royals,AL Central,5,44
Sammy Sosa,White Sox,AL Central,14,53
Sammy Sosa,Twins,AL Central,14,52
Sammy Sosa,Rangers,AL West,5,35
Sammy Sosa,Mariners,AL West,6,50
Sammy Sosa,Astros,AL West,42,163
Sammy Sosa,Angels,AL West,7,48
Sammy Sosa,Athletics,AL West,5,52
Sammy Sosa,Nationals,NL East,0,0
Sammy Sosa,Expos,NL East,24,100
Sammy Sosa,Mets,NL East,28,101
Sammy Sosa,Marlins,NL East,30,107
Sammy Sosa,Phillies,NL East,35,101
Sammy Sosa,Braves,NL East,21,103
Sammy Sosa,Cubs,NL Central,1,2
Sammy Sosa,Cardinals,NL Central,40,153
Sammy Sosa,Pirates,NL Central,38,157
Sammy Sosa,Brewers,NL Central,44,120
Sammy Sosa,Reds,NL Central,53,168
Sammy Sosa,Dodgers,NL West,29,109
Sammy Sosa,Giants,NL West,29,108
Sammy Sosa,Rockies,NL West,45,113
Sammy Sosa,Diamondbacks,NL West,22,56
Sammy Sosa,Padres,NL West,41,108
Manny Ramirez,Red Sox,AL East,12,93
Manny Ramirez,Orioles,AL East,36,205
Manny Ramirez,Blue Jays,AL East,54,190
Manny Ramirez,Yankees,AL East,55,228
Manny Ramirez,Rays,AL East,41,153
Manny Ramirez,Indians,AL Central,16,59
Manny Ramirez,Tigers,AL Central,27,135
Manny Ramirez,Royals,AL Central,37,120
Manny Ramirez,White Sox,AL Central,25,123
Manny Ramirez,Twins,AL Central,29,127
Manny Ramirez,Rangers,AL West,23,122
Manny Ramirez,Mariners,AL West,39,131
Manny Ramirez,Astros,AL West,8,27
Manny Ramirez,Angels,AL West,24,132
Manny Ramirez,Athletics,AL West,39,139
Manny Ramirez,Nationals,NL East,2,10
Manny Ramirez,Expos,NL East,1,3
Manny Ramirez,Mets,NL East,2,9
Manny Ramirez,Marlins,NL East,3,18
Manny Ramirez,Phillies,NL East,8,36
Manny Ramirez,Braves,NL East,4,40
Manny Ramirez,Cubs,NL Central,1,20
Manny Ramirez,Cardinals,NL Central,6,35
Manny Ramirez,Pirates,NL Central,5,27
Manny Ramirez,Brewers,NL Central,14,65
Manny Ramirez,Reds,NL Central,12,29
Manny Ramirez,Dodgers,NL West,1,3
Manny Ramirez,Giants,NL West,8,31
Manny Ramirez,Rockies,NL West,3,33
Manny Ramirez,Diamondbacks,NL West,12,38
Manny Ramirez,Padres,NL West,8,32
