player,opponent,division,hrsNum,gamesAgainst
David Ortiz,Red Sox,AL East,4,25
David Ortiz,Orioles,AL East,55,247
David Ortiz,Blue Jays,AL East,62,251
David Ortiz,Yankees,AL East,53,257
David Ortiz,Rays,AL East,53,258
David Ortiz,Indians,AL Central,27,142
David Ortiz,Tigers,AL Central,36,129
David Ortiz,Royals,AL Central,21,127
David Ortiz,White Sox,AL Central,28,139
David Ortiz,Twins,AL Central,21,73
David Ortiz,Rangers,AL West,33,129
David Ortiz,Mariners,AL West,30,134
David Ortiz,Astros,AL West,7,35
David Ortiz,Angels,AL West,32,144
David Ortiz,Athletics,AL West,23,140
David Ortiz,Nationals,NL East,4,10
David Ortiz,Mets,NL East,3,12
David Ortiz,Marlins,NL East,11,22
David Ortiz,Phillies,NL East,9,41
David Ortiz,Braves,NL East,8,34
David Ortiz,Cubs,NL Central,4,16
David Ortiz,Cardinals,NL Central,1,22
David Ortiz,Pirates,NL Central,0,11
David Ortiz,Brewers,NL Central,5,20
David Ortiz,Reds,NL Central,0,8
David Ortiz,Dodgers,NL West,2,9
David Ortiz,Giants,NL West,3,14
David Ortiz,Rockies,NL West,2,20
David Ortiz,Diamondbacks,NL West,4,11
David Ortiz,Padres,NL West,0,13
